database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0002093	auditory receptor cell morphogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0002097	tRNA wobble base modification	Neither	NO	NO	NA	NO
GO_BP	GO:0002098	tRNA wobble uridine modification	Neither	NO	NO	NA	NO
GO_BP	GO:0002115	store-operated calcium entry	Neither	NO	NO	NA	NO
GO_BP	GO:0002181	cytoplasmic translation	Neither	NO	NO	NA	NO
GO_BP	GO:0002182	cytoplasmic translational elongation	Neither	NO	NO	NA	NO
GO_BP	GO:0002183	cytoplasmic translational initiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002200	somatic diversification of immune receptors	Neither	NO	NO	NA	NO
GO_BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002218	activation of innate immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002221	pattern recognition receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002223	stimulatory C-type lectin receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002224	toll-like receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002227	innate immune response in mucosa	Neither	NO	NO	NA	NO
GO_BP	GO:0002228	natural killer cell mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002230	positive regulation of defense response to virus by host	Neither	NO	NO	NA	NO
GO_BP	GO:0002237	response to molecule of bacterial origin	Neither	NO	NO	NA	NO
GO_BP	GO:0002244	hematopoietic progenitor cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002250	adaptive immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002251	organ or tissue specific immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002252	immune effector process	Neither	NO	NO	NA	NO
GO_BP	GO:0002253	activation of immune response	Neither	NO	NO	NA	NO
