stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007020	microtubule nucleation	0.00270319854032507	0.07478391900899305	0.6865671019017968	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007026	negative regulation of microtubule depolymerization	0.418051154948356	0.6884766172660729	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007029	endoplasmic reticulum organization	0.472274666239488	0.7150532104496486	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007030	Golgi organization	0.0674986837318304	0.452574031127585	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007031	peroxisome organization	0.210828112111588	0.5978467403919729	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007032	endosome organization	0.659549928708646	0.8247564380942524	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007033	vacuole organization	0.00884886694219176	0.17410225572182345	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007034	vacuolar transport	0.901139893554502	0.9551171567234609	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007035	vacuolar acidification	0.204823258563531	0.5906205712124624	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007039	protein catabolic process in the vacuole	0.14869871632185	0.546774267432675	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
