source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag
GO_BP	GO:0140588	chromatin looping	14	26	1	13	3.79254634905374	0.96670193368059	1.89784537525456	5.68724732285293	44.3692361176997	6.67150435685266	295.080241032309	8.73875648249738e-05	0.00793770380493512	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1901659	glycosyl compound biosynthetic process	22	26	1	21	3.60352108111849	0.920377402369139	1.79961452029045	5.40742764194654	36.7273269351408	6.04731589748023	223.057066418966	9.03051077437058e-05	0.00794499806001008	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009164	nucleoside catabolic process	13	26	1	12	3.68809639877175	0.942029180237421	1.84175313312062	5.53443966442289	39.9686900466257	6.3075866125831	253.265834012706	9.0383464168922e-05	0.00794499806001008	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0039532	negative regulation of cytoplasmic pattern recognition receptor signaling pathway	65	26	2	63	2.68754086876704	0.688624224429641	1.33786219000312	4.03721954753097	14.6954933032089	3.81088783672313	56.6685593167057	9.50986867331105e-05	0.00818903284677599	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0031445	regulation of heterochromatin formation	13	26	1	12	3.67687878196793	0.942772454534241	1.8290787254644	5.52467883847147	39.5228419493481	6.22814618217173	250.805775918455	9.61647893933328e-05	0.00818903284677599	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0015802	basic amino acid transport	22	26	1	21	3.50839492909329	0.904406813815532	1.73579014664222	5.28099971154435	33.3946240049961	5.67340885818606	196.566286744161	0.000104791029156615	0.00878632475236234	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009169	purine ribonucleoside monophosphate catabolic process	12	26	1	11	3.59422061795766	0.931722155043876	1.76807875047362	5.4203624854417	36.3873293024867	5.85958481545307	225.96101523709	0.000114501196182454	0.00939636156672128	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009170	purine deoxyribonucleoside monophosphate metabolic process	15	26	1	14	3.54642672484131	0.920379321416016	1.7425164027505	5.35033704693211	34.6891419139041	5.71169828706656	210.67929471131	0.000116573152493633	0.00939636156672128	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009128	purine nucleoside monophosphate catabolic process	13	26	1	12	3.56597572677243	0.925787714571842	1.75146514888197	5.38048630466289	35.3739518828968	5.76304020529158	217.127840035637	0.000117239006704045	0.00939636156672128	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:1901658	glycosyl compound catabolic process	19	26	1	18	3.53153926497841	0.918080524481198	1.73213450208762	5.3309440278692	34.176533889362	5.65270675480811	206.632949373712	0.000119741270782506	0.00940988558973214	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0072710	response to hydroxyurea	10	26	1	9	3.86478376434379	1.00530918248377	1.89441397334819	5.83515355533939	47.6929583994417	6.64865097607532	342.117263949623	0.000120860915831422	0.00940988558973214	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0030101	natural killer cell activation	55	26	2	53	2.74845336160785	0.716554793001208	1.34403177437593	4.15287494883977	15.6184570888142	3.8344721085357	63.6166322065863	0.00012523266676525	0.00961293005451565	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0070424	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	14	26	1	13	3.62631119069237	0.948746013425927	1.7668031739016	5.48581920748315	37.5739574980912	5.85211523136677	241.246494002928	0.000132258326150319	0.0100112205211006	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0034656	nucleobase-containing small molecule catabolic process	15	26	1	14	3.52157759602391	0.925601282817631	1.70743241765728	5.33572277439054	33.8377687074796	5.51478362295408	207.622759002746	0.000142011857246405	0.0106022550957933	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0045176	apical protein localization	11	26	1	10	3.65063029655905	0.964552257045073	1.76014261154389	5.54111798157422	38.498924142747	5.81326637418281	254.962883987462	0.000153836783966402	0.0113298712515796	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
