source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0001958	endochondral ossification	11	1
GO_BP	GO:0001959	regulation of cytokine-mediated signaling pathway	159	1
GO_BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway	82	1
GO_BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	56	1
GO_BP	GO:0001963	synaptic transmission, dopaminergic	13	1
GO_BP	GO:0001964	startle response	14	1
GO_BP	GO:0001966	thigmotaxis	3	0
GO_BP	GO:0001967	suckling behavior	2	0
GO_BP	GO:0001969	regulation of activation of membrane attack complex	4	0
GO_BP	GO:0001970	positive regulation of activation of membrane attack complex	2	0
GO_BP	GO:0001971	negative regulation of activation of membrane attack complex	3	0
GO_BP	GO:0001973	G protein-coupled adenosine receptor signaling pathway	6	0
GO_BP	GO:0001974	blood vessel remodeling	19	1
GO_BP	GO:0001975	response to amphetamine	19	1
GO_BP	GO:0001976	nervous system process involved in regulation of systemic arterial blood pressure	8	0
GO_BP	GO:0001979	regulation of systemic arterial blood pressure by chemoreceptor signaling	1	0
GO_BP	GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions	1	0
GO_BP	GO:0001990	regulation of systemic arterial blood pressure by hormone	32	1
GO_BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	17	1
GO_BP	GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine	5	0
GO_BP	GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure	1	0
GO_BP	GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine	2	0
GO_BP	GO:0001999	renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure	3	0
GO_BP	GO:0002000	detection of renal blood flow	1	0
GO_BP	GO:0002001	renin secretion into blood stream	2	0
GO_BP	GO:0002002	regulation of angiotensin levels in blood	13	1
GO_BP	GO:0002003	angiotensin maturation	13	1
GO_BP	GO:0002007	detection of hypoxic conditions in blood by chemoreceptor signaling	1	0
GO_BP	GO:0002009	morphogenesis of an epithelium	272	1
GO_BP	GO:0002011	morphogenesis of an epithelial sheet	39	1
GO_BP	GO:0002016	regulation of blood volume by renin-angiotensin	6	0
GO_BP	GO:0002017	regulation of blood volume by renal aldosterone	2	0
GO_BP	GO:0002018	renin-angiotensin regulation of aldosterone production	2	0
GO_BP	GO:0002019	regulation of renal output by angiotensin	3	0
GO_BP	GO:0002021	response to dietary excess	18	1
GO_BP	GO:0002023	reduction of food intake in response to dietary excess	4	0
GO_BP	GO:0002024	diet induced thermogenesis	8	0
GO_BP	GO:0002025	norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure	3	0
GO_BP	GO:0002026	regulation of the force of heart contraction	18	1
GO_BP	GO:0002027	regulation of heart rate	98	1
GO_BP	GO:0002028	regulation of sodium ion transport	63	1
GO_BP	GO:0002029	desensitization of G protein-coupled receptor signaling pathway	18	1
GO_BP	GO:0002031	G protein-coupled receptor internalization	9	0
GO_BP	GO:0002033	angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure	2	0
GO_BP	GO:0002034	maintenance of blood vessel diameter homeostasis by renin-angiotensin	5	0
GO_BP	GO:0002035	brain renin-angiotensin system	2	0
GO_BP	GO:0002036	regulation of L-glutamate import across plasma membrane	7	0
GO_BP	GO:0002037	negative regulation of L-glutamate import across plasma membrane	2	0
GO_BP	GO:0002038	positive regulation of L-glutamate import across plasma membrane	3	0
GO_BP	GO:0002040	sprouting angiogenesis	62	1
GO_BP	GO:0002042	cell migration involved in sprouting angiogenesis	24	1
GO_BP	GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	6	0
GO_BP	GO:0002051	osteoblast fate commitment	1	0
GO_BP	GO:0002052	positive regulation of neuroblast proliferation	13	1
GO_BP	GO:0002053	positive regulation of mesenchymal cell proliferation	10	1
GO_BP	GO:0002062	chondrocyte differentiation	48	1
GO_BP	GO:0002063	chondrocyte development	9	0
GO_BP	GO:0002064	epithelial cell development	105	1
GO_BP	GO:0002065	columnar/cuboidal epithelial cell differentiation	42	1
GO_BP	GO:0002066	columnar/cuboidal epithelial cell development	4	0
GO_BP	GO:0002067	glandular epithelial cell differentiation	3	0
GO_BP	GO:0002070	epithelial cell maturation	4	0
